user_id,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates,cluster
1533,239.98333333333332,16.333333333333332,43.333333333333336,9.0,21.25,18.666666666666668,8.0,1
1535,222.53435897435892,15.328205128205129,40.83076923076923,11.861538461538462,14.34871794871795,20.70769230769231,8.133333333333333,1
1634,238.9142857142857,17.857142857142858,9.428571428571429,13.428571428571429,23.857142857142858,24.428571428571427,6.571428571428571,1
1676,299.0,20.5,56.5,25.5,39.0,12.25,8.5,3
1891,250.12727272727275,17.454545454545453,47.54545454545455,15.727272727272728,10.909090909090908,26.63636363636364,9.818181818181818,2
2178,311.3666666666667,21.166666666666668,43.5,17.833333333333332,28.33333333333333,30.33333333333333,7.666666666666667,3
2310,233.24107142857144,17.964285714285715,29.660714285714285,17.285714285714285,22.375,20.071428571428573,6.553571428571429,1
2312,233.35,21.266666666666666,22.53333333333333,11.7,17.733333333333334,28.0,5.666666666666667,1
2586,293.1095238095238,16.952380952380953,47.57142857142857,17.571428571428573,22.09523809523809,22.476190476190474,11.666666666666666,3
2695,267.15714285714284,18.0,11.285714285714286,22.571428571428573,24.285714285714285,17.142857142857142,8.571428571428571,2
3205,166.825,12.75,10.875,10.875,6.125,9.875,6.125,4
3288,273.79857142857145,21.585714285714285,23.714285714285715,17.228571428571428,29.65714285714286,26.4,6.714285714285714,2
4291,311.8058823529412,22.88235294117647,39.26470588235294,20.88235294117647,31.823529411764707,30.72058823529412,8.911764705882353,3
4439,264.376,18.9,35.57,20.81,24.32,22.25,8.17,2
4470,237.8754325259516,17.986159169550174,18.47058823529412,17.432525951557093,28.68512110726644,20.764705882352946,5.4567474048442905,1
4500,325.14444444444445,28.444444444444443,42.66666666666666,19.22222222222222,23.0,34.111111111111114,8.333333333333334,3
4601,240.7230769230769,15.76923076923077,21.615384615384617,15.923076923076923,22.846153846153847,19.53846153846154,8.0,1
4740,302.4428571428572,22.928571428571427,26.857142857142858,25.642857142857142,35.214285714285715,28.30952380952381,7.428571428571429,3
4753,331.26666666666665,21.33333333333333,15.666666666666666,12.666666666666666,31.0,31.33333333333333,12.333333333333334,0
4862,147.06666666666666,10.0,15.666666666666666,14.333333333333334,24.666666666666668,8.5,2.6666666666666665,4
5060,230.90046296296296,15.23611111111111,23.074074074074076,15.824074074074074,29.699074074074076,17.675925925925927,6.078703703703703,1
5523,275.35,17.5,12.25,42.25,39.5,16.75,6.75,2
6164,198.46666666666667,12.0,6.0,23.0,18.33333333333333,16.666666666666668,7.0,4
6258,215.7462962962963,16.555555555555557,21.953703703703702,17.38888888888889,24.03703703703704,19.28703703703704,5.2407407407407405,1
6357,187.1875,10.131944444444445,44.55555555555556,8.270833333333334,9.444444444444445,11.333333333333334,8.722222222222221,4
6512,361.3555555555556,30.37037037037037,28.666666666666668,23.185185185185187,47.44444444444444,40.888888888888886,6.222222222222222,0
6550,237.825,16.0,41.45,18.15,24.75,23.5,7.3,1
6651,226.04534883720933,17.24418604651163,32.174418604651166,15.30232558139535,23.44186046511628,21.8953488372093,5.848837209302325,1
6836,244.92033898305087,16.64406779661017,53.20338983050848,12.169491525423728,16.35593220338983,19.93220338983051,9.084745762711863,1
7093,179.94444444444446,10.333333333333334,46.333333333333336,10.22222222222222,11.444444444444445,16.77777777777778,6.444444444444445,4
7108,265.737323943662,19.83098591549296,30.76056338028169,20.492957746478872,27.640845070422536,26.0774647887324,7.295774647887324,2
7802,266.70344827586206,20.58620689655172,25.03448275862069,21.58620689655172,27.58620689655172,30.310344827586206,6.862068965517241,2
8377,200.13214285714284,14.571428571428571,18.857142857142858,15.25,20.892857142857142,18.5,5.678571428571429,4
8396,294.89090909090913,25.181818181818183,10.727272727272728,22.63636363636364,41.63636363636363,37.0,4.454545454545454,3
